name,address,city,state,zip_code,country,region,phone,email,website,status
Pastimes Comics & Games,233 Golf Mill Dr,Niles,IL,60714,USA,Midwest,(847) 470-9636,info@pastimes.net,pastimes.net,Open
Elsewhere Comics & Collectible,2361 Vermont St,Blue Island,IL,60406,USA,Midwest,(708) 489-1454,elsewherecomics@comcast.net,elsewherecomics.com,Open
Blerds Underground,15 1/2 S La Grange Rd,La Grange,IL,60525,USA,Midwest,(708) 352-1230,comics@blerdsunderground.com,stores.comichub.com/blerdsunderground,Open
ComicWerx Collectibles,2315 S 1st St,Springfield,IL,62704,USA,Midwest,(901) 213-7217,[email protected],comicwerx.com,Open
Collectors Emporium,17681 Cumberland Rd,Noblesville,IN,46060,USA,Midwest,(317) 995-4798,indycollectorsemporium@gmail.com,indycollectorsemporium.com,Open
Retro Trading Cards & Collectibles,4121 Cleveland St,Gary,IN,46408,USA,Midwest,(219) 455-9727,RetrotradingcardsNcollectibles@gmail.com,retrotradingcardscollectibles.com,Open
Normal Block Entertainment,706 E Lincolnway,Valparaiso,IN,46383,USA,Midwest,(219) 548-9970,[email protected],normalblockentertainment.com,Open
Who North America,8901 S State Rd 67 Suite F,Camby,IN,46113,USA,Midwest,(317) 481-8189,whona@whona.com,whona.com,Open
Krypton Comics,77 E Washington St,Martinsville,IN,46151,USA,Midwest,(765) 318-6904,krypton_comics@yahoo.com,kryptoncomics.net,Open
Screaming Monkey Comics,11 Ridge Rd,Munster,IN,46321,USA,Midwest,(219) 301-7920,screamerboy23@hotmail.com,screamingmonkeycomics.com,Open
The Hero House,1112 Prospect St,Indianapolis,IN,46203,USA,Midwest,(317) 636-7990,herohousecomics@hotmail.com,facebook.com/herohousecomics,Open
Warehouse Comics Cards & Gaming,620 W Edison Rd Ste 140,Mishawaka,IN,46545,USA,Midwest,(574) 287-3485,information@warehousecomics.com,warehousecomics.com,Open
B.E. Comics,126 W Van Buren St,Columbia City,IN,46725,USA,Midwest,(260) 248-8020,info@beckent.com,beckent.com,Open
TCB Games & Collectibles,656 Eastern Blvd,Clarksville,IN,47129,USA,Midwest,(812) 725-0120,TCBGamesandCollectibles@gmail.com,tcbgamesandcollectibles.com,Open
Galactic Greg's,1407 Lincolnway,Valparaiso,IN,46383,USA,Midwest,(219) 464-0119,galacticgregs@yahoo.com,galacticgregs.com,Open
Berndt Comics & toys,625 W Coliseum Blvd,Fort Wayne,IN,46808,USA,Midwest,(260) 585-3285,berndtcomics@aol.com,berndtcomicsandcollectibles.com,Open
Coffee Break,205 W Water St,Decorah,IA,52101,USA,Midwest,(515) 943-8567,jake@coffeebreakdecorah.com,coffeebreakdecorah.com,Open
Quest Haven Books & Comics,104 N 1st Ave,Winterset,IA,50273,USA,Midwest,(515) 468-0917,contact@questhavenbooks.com,questhavenbooks.com,Open
