name,address,city,state,zip_code,country,region,phone,email,website,status
13th Verse Comics,3200 W Ridge Rd,Rochester,NY,14626,USA,Northeast,585-663-2377,,store.13thversecomics.com,Open
1811 Comics,56 E Spring St,Williamsville,NY,14221,USA,Northeast,716-633-2424,,sweetjennyswilliamsville.com,Open
1st Print Comics,1548 Buffalo Rd,Rochester,NY,14624,USA,Northeast,585-978-9791,mike@1stprintcomics.com,1stprintcomics.com,Open
20th Century Books,1421 S Park St Ste 200,Madison,WI,53715,USA,Midwest,,hank.luttrell@gmail.com,southparkbooks.com,Open
2nd & Charles,45290 Utica Park Blvd,Utica,MI,48315,USA,Midwest,(586) 254-1370,support@2ndandcharles.com,2ndandcharles.com,Open
2nd Time Around Comics,902 Conover Blvd E Ste B,Conover,NC,28613,USA,Southeast,,2ndtimearoundcomics@gmail.com,2ndtimearoundcomics.com,Open
3rd Universe Comic Emporium,35 N Riverside Ave,Croton-On-Hudson,NY,10520,USA,Northeast,914-827-3600,the3rduniverse@gmail.com,the3rduniverse.com,Open
4 Color Fantasies,8045 Archibald Ave #120,Rancho Cucamonga,CA,91730,USA,West,855-692-6642,chris@4colorfantasies.com,4colorfantasies.com,Open
4th World Comics,33 NY-111,Smithtown,NY,11787,USA,Northeast,631-366-4440,,fourthworldcomics.com,Open
A & J Comics Cards and Collectibles,411 S 3rd St,Union City,TN,38261,USA,South,731-599-9939,,facebook.com/pages/A-J-Comics-Cards-and-Collectibles,Open
A & S Comics & Cards,7512 Bergenline Ave,North Bergen,NJ,7047,USA,Northeast,(201) 869-0280,ascomics@aol.com,www.ascomics.com,Open
A A Paper Collectibles,1450 Frontage Rd,O Fallon,IL,62269,USA,Midwest,618-632-8771,,,Open
A Cardstore,4018 Union Rd,Buffalo,NY,14225,USA,Northeast,716-713-1184,acardstore99@yahoo.com,,Open
A Castle of Books,7159 Katella Ave #D,Stanton,CA,90680,USA,West,,,,Open
A G Collectibles,6658 Carnelian St,Rancho Cucamonga,CA,91701,USA,West,909-758-0090,armingtongalleries@gmail.com,agcollectibles.com,Open
A I Comics,701 W Edmond Rd Ste G,Edmond,OK,73003,USA,Southwest,,,,Open
A Little Shop of Comics,509 Berckman St,Plainfield,NJ,7062,USA,Northeast,(908) 322-9402,info@littleshopofcomics.com,littleshopofcomics.com,Open
A Pennyworths Comics,11025 Monroe Rd Ste D,Matthews,NC,28105,USA,Southeast,(704) 849-2287,apennyworthscomics@gmail.com,apennyworthscomics.com,Open
A Shop Called Quest,101 N Indian Hill Blvd,Claremont,CA,91711,USA,West,,info@ashopcalledquest.com,ashopcalledquest.com,Open
A Shop Called Quest,5 E Citrus Ave Ste 101,Redlands,CA,92373,USA,West,,YesYouCan@AShopCalledQuest.com,ashopcalledquest.com,Open
A To Z Cards Comics Coins,32647 Ford Rd,Garden City,MI,48135,USA,Midwest,734-425-6780,atozcardsandcomics@gmail.com,http://youratoz.com/,Open
A&M Comics and Books,6650 Bird Road,Miami,FL,33155,USA,Southeast,(305) 661-3406,amcomics@gmail.com,http://amcomicbooks.com,Open
A&S Comics,563 Cedar Ln,Teaneck,NJ,7666,USA,Northeast,201-801-0500,info@ascomics.com,ascomics.com,Open
A-1 Comics,818 Sunrise Ave,Roseville,CA,95661,USA,West,,a1roseville@a-1comics.com,a-1comics.com,Open
A-1 Comics,5361 Auburn Blvd,Sacramento,CA,95841,USA,West,,a1comics@a-1comics.com,a-1comics.com,Open
A-1 Comics,850 E Bidwell St Ste 160,Folsom,CA,95630,USA,West,916-355-5303,,a-1comics.com,Open
Aaalways Buying Older Comics,25 E Washington St,Chicago,IL,60602,USA,Midwest,,,,Unknown
Aamazing Fantasy Comics,6721 W Ken Caryl Avenue,Littleton,CO,80128,USA,West,,shawno01@aol.com,aamazingfantasycomics.com,Open
ABC Cards -N-Comics,309 E College Dr,Marshall,MN,56258,USA,Midwest,,,,Unknown
Absolute Best Comics Toys,43961 15th St W,Lancaster,CA,93534,USA,West,661-206-9719,,,Open
Acme Comics,2150 Lawndale Dr,Greensboro,NC,27408,USA,Southeast,336-574-2263,acmelwn@bellsouth.net,acmecomics.com,Open
Acme Comics & Books,2218 W Glen Ave,Peoria,IL,61614,USA,Midwest,,,acmecomicspeoria.com,Open
Acme Comics & Collectibles,1622 Pierce St,Sioux City,IA,51105,USA,Midwest,,acmecomicssiouxcity@outlook.com,acmefirst.net,Open
Acme Superstore,905 E State Road 434,Longwood,FL,32750,USA,Southeast,(407) 331-0433,info@acme-superstore.com,acme-superstore.com,Open
Action City Comics,570 Manhattan Ave,Brooklyn,NY,11222,USA,Northeast,929-458-1890,info@actioncitycomics.com,actioncitycomics.com,Open
Action Comics & Sports,210 N Boulder Hwy #110,Henderson,NV,89015,USA,West,,vegaschess@msn.com,actioncomicsandsports.com,Open
Action Games & Comics,782 West Montrose St,Clermont,FL,34711,USA,Southeast,(352) 242-9755,,,Unknown
Adventureland,2120 Voorhees Town Center,Voorhees,NJ,8043,USA,Northeast,,,facebook.com/Adventurelandstores,Open
