name,address,city,state,zip_code,country,region,phone,email,website,status
1st Print Comics,1548 Buffalo Rd,Rochester,NY,14624,USA,Northeast,585-978-9791,mike@1stprintcomics.com,1stprintcomics.com,Open
20th Century Books,1421 S Park St Ste 200,Madison,WI,53715,USA,Midwest,,hank.luttrell@gmail.com,southparkbooks.com,Open
2nd & Charles,45290 Utica Park Blvd,Utica,MI,48315,USA,Midwest,(586) 254-1370,support@2ndandcharles.com,2ndandcharles.com,Open
2nd Time Around Comics,902 Conover Blvd E Ste B,Conover,NC,28613,USA,Southeast,,2ndtimearoundcomics@gmail.com,2ndtimearoundcomics.com,Open
3rd Universe Comic Emporium,35 N Riverside Ave,Croton-On-Hudson,NY,10520,USA,Northeast,914-827-3600,the3rduniverse@gmail.com,the3rduniverse.com,Open
4 Color Fantasies,8045 Archibald Ave #120,Rancho Cucamonga,CA,91730,USA,West,855-692-6642,chris@4colorfantasies.com,4colorfantasies.com,Open
A & S Comics & Cards,7512 Bergenline Ave,North Bergen,NJ,7047,USA,Northeast,(201) 869-0280,ascomics@aol.com,www.ascomics.com,Open
A Cardstore,4018 Union Rd,Buffalo,NY,14225,USA,Northeast,716-713-1184,acardstore99@yahoo.com,,Open
A G Collectibles,6658 Carnelian St,Rancho Cucamonga,CA,91701,USA,West,909-758-0090,armingtongalleries@gmail.com,agcollectibles.com,Open
A Little Shop of Comics,509 Berckman St,Plainfield,NJ,7062,USA,Northeast,(908) 322-9402,info@littleshopofcomics.com,littleshopofcomics.com,Open
A Pennyworths Comics,11025 Monroe Rd Ste D,Matthews,NC,28105,USA,Southeast,(704) 849-2287,apennyworthscomics@gmail.com,apennyworthscomics.com,Open
A Shop Called Quest,101 N Indian Hill Blvd,Claremont,CA,91711,USA,West,,info@ashopcalledquest.com,ashopcalledquest.com,Open
A Shop Called Quest,5 E Citrus Ave Ste 101,Redlands,CA,92373,USA,West,,YesYouCan@AShopCalledQuest.com,ashopcalledquest.com,Open
A To Z Cards Comics Coins,32647 Ford Rd,Garden City,MI,48135,USA,Midwest,734-425-6780,atozcardsandcomics@gmail.com,http://youratoz.com/,Open
A&M Comics and Books,6650 Bird Road,Miami,FL,33155,USA,Southeast,(305) 661-3406,amcomics@gmail.com,http://amcomicbooks.com,Open
A&S Comics,563 Cedar Ln,Teaneck,NJ,7666,USA,Northeast,201-801-0500,info@ascomics.com,ascomics.com,Open
A-1 Comics,818 Sunrise Ave,Roseville,CA,95661,USA,West,,a1roseville@a-1comics.com,a-1comics.com,Open
A-1 Comics,5361 Auburn Blvd,Sacramento,CA,95841,USA,West,,a1comics@a-1comics.com,a-1comics.com,Open
Aamazing Fantasy Comics,6721 W Ken Caryl Avenue,Littleton,CO,80128,USA,West,,shawno01@aol.com,aamazingfantasycomics.com,Open
Acme Comics,2150 Lawndale Dr,Greensboro,NC,27408,USA,Southeast,336-574-2263,acmelwn@bellsouth.net,acmecomics.com,Open
Acme Comics & Collectibles,1622 Pierce St,Sioux City,IA,51105,USA,Midwest,,acmecomicssiouxcity@outlook.com,acmefirst.net,Open
Acme Superstore,905 E State Road 434,Longwood,FL,32750,USA,Southeast,(407) 331-0433,info@acme-superstore.com,acme-superstore.com,Open
Action City Comics,570 Manhattan Ave,Brooklyn,NY,11222,USA,Northeast,929-458-1890,info@actioncitycomics.com,actioncitycomics.com,Open
Action Comics & Sports,210 N Boulder Hwy #110,Henderson,NV,89015,USA,West,,vegaschess@msn.com,actioncomicsandsports.com,Open
Adventures In Comics & Games,6026 Fair Oaks Blvd,Carmichael,CA,95608,USA,West,,adventures9860@sbcglobal.net,adventureson.com,Open
Affordable Cards & Comics,2395 Hamner Ave Ste F,Norco,CA,92860,USA,West,951-736-8552,info@affordablecardsnorco.com,affordablecardsnorco.com,Open
Aftertime Comics,1304 King St,Alexandria,VA,22314,USA,Southeast,(703) 548-5030,zzaftertime@aol.com,aftertimecomics.com,Open
Age Of Comics,5505 Osuna Rd NE,Albuquerque,NM,87109,USA,Southwest,,ageofcomics@hotmail.com,,Open
Alakazam Comics,17777 Main St Ste E,Irvine,CA,92614,USA,West,949-854-3744,irvine@alakazamcomics.com,alakazamcomics.com,Open
Alexs MVP Cards & Comics,1590 York Ave,New York,NY,10028,USA,Northeast,212-831-2273,mvp@alexsmvp.com,alexsmvp.com,Open
Alien Worlds,6900 San Pedro Ave #121,San Antonio,TX,78216,USA,Southwest,,alienworlds2@yahoo.com,alienworldscomics.com,Open
All American Collectibles,6933 Hampton Ave,Saint Louis,MO,63109,USA,Midwest,314-352-7700,david.schmidt@allamericanccg.com,aac-mo.com,Open
All Star Comics & Collectibles,200 E Montauk Hwy,Lindenhurst,NY,11757,USA,Northeast,347-335-6289,allstarcomicsny@gmail.com,,Open
Alter Ego Comics,331 7th Ave,Marion,IA,52302,USA,Midwest,,erin@alteregoia.com,alteregoia.com,Open
Alter Ego Comics,230 N Main St,Lima,OH,45801,USA,Midwest,419-224-6700,support@alteregocomics.com,alteregocomics.com,Open
Altered State Comics,671 Big Bend Rd,Manchester,MO,63021,USA,Midwest,636-220-4785,AlteredStateSTL@gmail.com,alteredstatecomics.com,Open
Alternate Reality Inc,3149 W 111th St,Chicago,IL,60655,USA,Midwest,773-881-4090,arcomics@msn.com,myalternatereality.com,Open
Alternate Universe,1181 Chapel Street,New Haven,CT,6511,USA,Northeast,(203) 562-0108,altun96@aol.com,www.alternateuniversect.com,Open
Alternate Universe Comics,398 Bridgeport Ave,Milford,CT,6460,USA,Northeast,(203) 876-8539,alternateuniversect@gmail.com,www.alternateuniversect.com,Open
Alterniverse,1164 Rte 9G Suite 6,Hyde Park,NY,12538,USA,Northeast,(845) 233-4234,alterniverse2@aol.com,alterniverse.net,Open
Amazing Book-Store,3718 Richfield Rd,Flint,MI,48506,USA,Midwest,810-736-3025,amazingbookstore@comcast.net,http://www.amazebookstore.com/,Open
Amazing Comics & Cards,5555 E Stearns St Ste 102,Long Beach,CA,90815,USA,West,,amazingcomics@att.net,amazingcomics.com,Open
Amazing Comics & Cards,6735 Westminster Blvd Ste E,Westminster,CA,92683,USA,West,714-379-0177,amazingcomicswest@gmail.com,amazingcomics.com,Open
Amazing Fantasy Books & Comics,20523 S La Grange Rd,Frankfort,IL,60423,USA,Midwest,,contact_us@afbooks.com,afbooks.com,Open
Amazing Fantasy Books & Comics Lockport,113 E 9th St,Lockport,IL,60441,USA,Midwest,,contact_us@afbooks.com,afbooks.com,Open
Amazing Fantasy Books & Comics Tinley Park,15948 S Harlem Ave,Tinley Park,IL,60477,USA,Midwest,,contact_us@afbooks.com,afbooks.com,Open
