name,address,city,state,zip_code,country,region,phone,email,website,status
Geek Boutique,1175 Main St,Clinton,MA,1510,USA,Northeast,(978) 733-4737,customerservice@tosscomics.com,shopgeekboutique.com,Open
Geek Geek Nerd Nerd,106 SE Evergreen Ave Suite J,Redmond,OR,97756,USA,West,(541) 527-4987,geekgeeknerdnerd@gmail.com,stores.comichub.com/geek_geek_nerd_nerd,Open
Geek Out,209 Cogswell Ave,Pell City,AL,35125,USA,Southeast,(205) 858-9305,,geekoutworld.com,Open
GeekMe,3770 Carman Road Suite 3,Schenectady,NY,12303,USA,Northeast,(518) 630-6005,,geekme.us,Open
Gibby's Comics,297 North Spruce Rd (inside Rocky Hill Antiques),Exeter,CA,93221,USA,West,(559) 898-2428,gibbyscomicsandcollectibles@gmail.com,gibbyscomics.com,Open
Goblin Comics,317 E Saint Patrick St,Rapid City,SD,57701,USA,Midwest,(605) 858-2404,goblincomic64@gmail.com,yelp.com/biz/goblin-comics-rapid-city,Open
Golden Eagle Comics & Games,2910 N 5th Street Hwy #A,Reading,PA,19605,USA,Northeast,(610) 921-3160,geaglecomics@aol.com,goldeneaglecomics.com,Open
Golden Unicorn Comics,4 N Kennedy Dr,McAdoo,PA,18237,USA,Northeast,(570) 929-1027,,,Open
Goldmine Comics & Cards,65 54th St SW,Grand Rapids,MI,49548,USA,Midwest,(616) 534-7227,goldminecomics@comcast.net,goldminecomics.com,Open
Gonzo Toys N Comics,10910 Katy Freeway Ste 178,Houston,TX,77043,USA,Southwest,(832) 403-9287,lamydoc1@gmail.com,yelp.com/biz/gonzo-toys-n-comics-houston,Open
Gorilla Todd Comics,6718 W Cheyenne Ave,Las Vegas,NV,89108,USA,West,(702) 470-8447,gorillatoddcomics@gmail.com,gorillatoddcomics.com,Open
Got Books,814 S Washington St,Shelby,NC,28150,USA,Southeast,(704) 466-3492,info@gotbooksonline.com,gotbooksonline.com,Open
Got Comics,330 E Army Trail Rd,Glendale Heights,IL,60139,USA,Midwest,(224) 353-4902,gotcomicsinc@yahoo.com,gotcomicsinc.com,Open
Gotham City Comics,151 N Country Club Dr,Mesa,AZ,85201,USA,Southwest,(480) 649-3065,,batcavecomic.com,Open
Gotham City Limit,4195 Southside Blvd Suite 104,Jacksonville,FL,32216,USA,Southeast,(904) 641-3335,ben@gothamcitylimit.com,gothamcitylimit.com,Open
Gotham Comics & Toys,44a Hamburg Turnpike,Riverdale,NJ,7457,USA,Northeast,(201) 257-7733,jameson@gothamcomicsnj.com,gothamcomicsnj.com,Open
Great Stories,1167 Providence Rd Unit 4,Whitinsville,MA,1588,USA,Northeast,(508) 266-0051,great_stories@hotmail.com,greatstoriesinc.com,Open
Green Dragon Comic Shop,1 Victory Hwy,Chepachet,RI,2814,USA,Northeast,(401) 949-2076,GreenDragonComics@yahoo.com,facebook.com/greendragoncomics,Open
Greenbush Out-of-Print Comics,501 Columbia Turnpike Suite G,Rensselaer,NY,12144,USA,Northeast,(518) 894-7336,goopcomics@yahoo.com,greenbushcomics.com,Open
Gregs Comics,2722 S Alma School Rd #8,Mesa,AZ,85210,USA,Southwest,(480) 752-1881,hhwolfman@aol.com,gregscomics.com,Open
Ground Zero Comics,15139 Pearl Rd,Strongsville,OH,44136,USA,Midwest,(440) 572-9599,gzcomics@yahoo.com,groundzerocomicsandcards.com,Open
Ground Zero Comics,2744 E 5th St,Tyler,TX,75701,USA,Southwest,(903) 566-1185,info@groundzerocomics.com,groundzerocomics.com,Open
Grumpy Bob's Emporium,2915 N Center St,Maryville,IL,62062,USA,Midwest,(618) 288-3491,grumpybobsemporium@gmail.com,grumpybobsonline.com,Open
Grumpy's Comics,111 E University Dr Suite 108,Denton,TX,76209,USA,Southwest,(940) 591-9771,grumpyscomics@gmail.com,grumpyscomicsdenton.com,Open
Guild of Blades Retail,775 E 14 Mile Rd,Clawson,MI,48017,USA,Midwest,(248) 430-4980,,gobretail.com,Open
Gulf Coast Cosmos Comicbook Co.,2408 Wheeler Avenue,Houston,TX,77004,USA,Southwest,(346) 418-9040,gcccomics@gmail.com,gcccomicshtx.com,Open
Guns N Comics,2304 S French Ave,Sanford,FL,32771,USA,Southeast,(321) 972-1493,,gunsncomics.net,Open
Gyromite Comics,13850 Florida Blvd,Livingston,LA,70754,USA,Southeast,(225) 435-0418,gyromitecomics@gmail.com,gyromitecomics.com,Open
Hot Comics and Collectibles,26 W 66th St,Richfield,MN,55423,USA,Midwest,(612) 798-3936,hotcomicsdotcom@gmail.com,hotcomicsandcollectibles.com,Open
Hot Flips,87-B Eads St,West Babylon,NY,11704,USA,Northeast,(800) 922-3547,hotflipsnj@yahoo.com,hotflips.com,Open
Hot Spot Collectibles and Toys,680 E 56th St F,Brownsburg,IN,46112,USA,Midwest,(317) 742-5089,sales@hotspotcollectiblesandtoys.com,hotspotcollectiblesandtoys.com,Open
House Of Games,562 Tusculum Blvd,Greeneville,TN,37745,USA,Southeast,(423) 972-6500,houseofgames76@gmail.com,houseofgames.store,Open
Hub City Collectibles,2606 50th St,Lubbock,TX,79413,USA,Southwest,(806) 370-0057,hubcitycollectibles.lbk@gmail.com,https://www.facebook.com/p/Hub-City-Collectibles-61570591795586/,Open
Hyped Cards & Collectibles,13696 Southcove Dr,Sterling Heights,MI,48313,USA,Midwest,(586) 275-8038,info@hypedcc.com,hyped.cards,Open
Hypno Comics & Games,720 East St Suite 2,Pahrump,NV,89048,USA,West,(775) 513-6213,hypnocomics@gmail.com,hypnocomics.com,Open
ITS GEEKY Comics & Collectibles,7415 El Cajon Blvd,La Mesa,CA,91942,USA,West,(619) 414-7647,its_geeky@live.com,instagram.com/its_geeky,Open
