name,address,city,state,zip_code,country,region,phone,email,website,status
Goblin Comics,317 E Saint Patrick St,Rapid City,SD,57701,USA,Midwest,(605) 858-2404,goblincomic64@gmail.com,yelp.com/biz/goblin-comics-rapid-city,Open
Golden Eagle Comics & Games,2910 N 5th Street Hwy #A,Reading,PA,19605,USA,Northeast,(610) 921-3160,geaglecomics@aol.com,goldeneaglecomics.com,Open
Golden Unicorn Comics,4 N Kennedy Dr,McAdoo,PA,18237,USA,Northeast,(570) 929-1027,,,Open
Goldmine Comics & Cards,65 54th St SW,Grand Rapids,MI,49548,USA,Midwest,(616) 534-7227,goldminecomics@comcast.net,goldminecomics.com,Open
Gonzo Toys N Comics,10910 Katy Freeway Ste 178,Houston,TX,77043,USA,Southwest,(832) 403-9287,lamydoc1@gmail.com,yelp.com/biz/gonzo-toys-n-comics-houston,Open
Gorilla Todd Comics,6718 W Cheyenne Ave,Las Vegas,NV,89108,USA,West,(702) 470-8447,gorillatoddcomics@gmail.com,gorillatoddcomics.com,Open
Got Books,814 S Washington St,Shelby,NC,28150,USA,Southeast,(704) 466-3492,info@gotbooksonline.com,gotbooksonline.com,Open
Got Comics,330 E Army Trail Rd,Glendale Heights,IL,60139,USA,Midwest,(224) 353-4902,gotcomicsinc@yahoo.com,gotcomicsinc.com,Open
Gotham City Comics,151 N Country Club Dr,Mesa,AZ,85201,USA,Southwest,(480) 649-3065,,batcavecomic.com,Open
Gotham City Limit,4195 Southside Blvd Suite 104,Jacksonville,FL,32216,USA,Southeast,(904) 641-3335,ben@gothamcitylimit.com,gothamcitylimit.com,Open
Gotham Comics & Toys,44a Hamburg Turnpike,Riverdale,NJ,7457,USA,Northeast,(201) 257-7733,jameson@gothamcomicsnj.com,gothamcomicsnj.com,Open
