name,address,city,state,zip_code,country,region,phone,email,website,status
Great Stories,1167 Providence Rd Unit 4,Whitinsville,MA,1588,USA,Northeast,(508) 266-0051,great_stories@hotmail.com,greatstoriesinc.com,Open
Green Dragon Comic Shop,1 Victory Hwy,Chepachet,RI,2814,USA,Northeast,(401) 949-2076,GreenDragonComics@yahoo.com,facebook.com/greendragoncomics,Open
Greenbush Out-of-Print Comics,501 Columbia Turnpike Suite G,Rensselaer,NY,12144,USA,Northeast,(518) 894-7336,goopcomics@yahoo.com,greenbushcomics.com,Open
Gregs Comics,2722 S Alma School Rd #8,Mesa,AZ,85210,USA,Southwest,(480) 752-1881,hhwolfman@aol.com,gregscomics.com,Open
Ground Zero Comics,15139 Pearl Rd,Strongsville,OH,44136,USA,Midwest,(440) 572-9599,gzcomics@yahoo.com,groundzerocomicsandcards.com,Open
Ground Zero Comics,2744 E 5th St,Tyler,TX,75701,USA,Southwest,(903) 566-1185,info@groundzerocomics.com,groundzerocomics.com,Open
Grumpy Bob's Emporium,2915 N Center St,Maryville,IL,62062,USA,Midwest,(618) 288-3491,grumpybobsemporium@gmail.com,grumpybobsonline.com,Open
Grumpy's Comics,111 E University Dr Suite 108,Denton,TX,76209,USA,Southwest,(940) 591-9771,grumpyscomics@gmail.com,grumpyscomicsdenton.com,Open
Guild of Blades Retail,775 E 14 Mile Rd,Clawson,MI,48017,USA,Midwest,(248) 430-4980,,gobretail.com,Open
Gulf Coast Cosmos Comicbook Co.,2408 Wheeler Avenue,Houston,TX,77004,USA,Southwest,(346) 418-9040,gcccomics@gmail.com,gcccomicshtx.com,Open
Guns N Comics,2304 S French Ave,Sanford,FL,32771,USA,Southeast,(321) 972-1493,,gunsncomics.net,Open
Gyromite Comics,13850 Florida Blvd,Livingston,LA,70754,USA,Southeast,(225) 435-0418,gyromitecomics@gmail.com,gyromitecomics.com,Open
