name,address,city,state,zip_code,country,region,phone,email,website,status
13th Verse Comics,3200 West Ridge Rd,Greece,NY,14626,USA,Northeast,585-663-2377,michael@13thversecomics.com,store.13thversecomics.com,Open
1811 Comics,56 E Spring St,Williamsville,NY,14221,USA,Northeast,716-633-2424,sweetjennyswilliamsville@aol.com,sweetjennyswilliamsville.com,Open
4th World Comics,33 NY-111,Smithtown,NY,11787,USA,Northeast,631-366-4440,,fourthworldcomics.com,Open
A & J Comics Cards and Collectibles,411 S 3rd St,Union City,TN,38261,USA,South,731-599-9939,,facebook.com/pages/A-J-Comics-Cards-and-Collectibles,Open
A-1 Comics,850 E Bidwell St Ste 160,Folsom,CA,95630,USA,West,916-983-7907,,a-1comics.com,Open
Absolute Best Comics Toys,43961 15th St W,Lancaster,CA,93534,USA,West,661-206-9719,K_Adams@att.net,https://www.facebook.com/p/Absolute-Best-Comics-Toys-Games-61568483395365/,Open
Acme Comics & Books,2218 W Glen Ave,Peoria,IL,61614,USA,Midwest,309-691-9816,acmeone@comcast.net,acmecomicspeoria.com,Open
Alameda Sports Cards & Comics,1515 Webster St,Alameda,CA,94501,USA,West,510-769-0644,p94501@aol.com,alamedacardsandcomics.com,Open
All American Cards and Comics,161 W Market St,Warren,OH,44481,USA,Midwest,330-393-3137,iuz22000@yahoo.com,facebook.com/pages/all-american-cards-and-comics/162251137284,Open
All Heroes Comics,4410 Lake Ave,Rochester,NY,14612,USA,Northeast,585-865-9113,,allheroescomics.com,Open
All in A Dream Comics,3115 E Colfax Ave,Denver,CO,80206,USA,West,303-333-8616,,allinadream.us,Open
All-Star Comics,12325 N May Ave #113,Oklahoma City,OK,73120,USA,Southwest,405-842-7800,staff@allstarcomicsokc.com,allstarcomicsokc.com,Open
Allstar Comics & Games,4406 Dyer St,El Paso,TX,79930,USA,Southwest,915-562-0443,,facebook.com/AllStarElPaso,Open
Alpha Comics & Games,120 W Pine Street,Warrensburg,MO,64093,USA,Midwest,660-747-3830,bri@alphacomics.com,https://www.facebook.com/alphacomicsandgames,Open
Als Comic Shop,1847 Pacific Ave,Stockton,CA,95204,USA,West,209-464-1513,alscomics21@gmail.com,alscomics.com,Open
Alternate Reality Comics,5300 S Eastern Ave #130,Las Vegas,NV,89119,USA,West,702-736-3673,,alternaterealitycomics.net,Open
Amazing Fantasy,650 Irving St,San Francisco,CA,94122,USA,West,415-681-4344,amazingfantasy00@aol.com,amazingfantasy.com,Open
Americas Heroes Comics & Games,3401 W Stan Schlueter Loop Ste 8,Killeen,TX,76549,USA,Southwest,254-634-8200,americasheroescomics@yahoo.com,americasheroescomicskilleen.com,Open
Antiquarium Books & Collectibles,504 E High St,Jefferson City,MO,65101,USA,Midwest,573-636-1112,antiquarium05@gmail.com,antiquarium.tripod.com,Open
Arcade Entertainment,N90W16933 Appleton Ave,Menomonee Falls,WI,53051,USA,Midwest,262-251-6363,arcade.entertainment.wi@gmail.com,arcade-entertainment.com,Open
Ash Avenue Comics & Books,806 S Ash Ave,Tempe,AZ,85281,USA,Southwest,480-858-9447,drew@ashavecomics.com,ashavecomics.com,Open
Atomic Comics Games & Music,2418 W 7th St,Muncie,IN,47302,USA,Midwest,765-288-1500,,atomicgamesindiana.com,Open
Atomic Comics,11414 Artesia Blvd Ste A,Artesia,CA,90701,USA,West,562-319-7572,,facebook.com/nov018,Open
Atomic Comics,86 W Washington St,Hagerstown,MD,21740,USA,Northeast,301-739-0177,atomicspawn@aol.com,instagram.com/atomic_comics_hagerstown,Open
Axtion Comics Cards Games,2200 N Highway 190,Covington,LA,70433,USA,Southeast,985-809-2939,,,Open
B and D Sports Cards and Comics,1326 Piney Forest Road,Danville,VA,24540,USA,Southeast,434-836-9133,,instagram.com/bd.cardsandcomics,Open
B-Bop Comics South,8709 Metcalf Ave,Overland Park,KS,66212,USA,Midwest,(913) 383-1777,info@bbopcomics.com,bbopcomics.com,Open
B-Town Comics & Games,1604 Mount Pleasant St,Burlington,IA,52601,USA,Midwest,(319) 209-2768,btowncomicshop@gmail.com,btowncomicsandgames.com,Open
BaT Comics & Games,218 Broadway St,Chico,CA,95928,USA,West,(530) 898-0550,bat@batcomics.com,batcomicsandgames.com,Open
Babylon Collectibles,225 Deer Park Ave,Babylon,NY,11702,USA,Northeast,(631) 482-9056,hello@babyloncollectibles.com,babyloncollectibles.com,Open
Back To the Past Collectibles,20770 Parker St,Farmington Hills,MI,48336,USA,Midwest,(313) 533-3130,frontcounter@gobacktothepast.com,gobacktothepast.com,Open
Bases Cards & Comics,42035 12th St W #106,Lancaster,CA,93534,USA,West,(661) 942-1396,,comicshoplocator.com/Retailer/StoreProfile/1167,Open
Beachcomber Collectibles,6692 Black Horse Pike,Egg Harbor Township,NJ,8234,USA,Northeast,(609) 645-1031,bccollectibles@hotmail.com,beachcombercoinsinc.com,Open
Bells Comics Cards and Games,25 Pine Grove Square,Grove City,PA,16127,USA,Northeast,(724) 458-4081,bellscomics@zoominternet.net,facebook.com/groups/bellscomics,Open
Bethany Beach Comics and Gaming,38017 Fenwick Shoals Blvd,Selbyville,DE,19975,USA,South,(302) 539-0210,cgobbde@gmail.com,facebook.com/ComicsAndGamingBBD,Open
Bittermanns Comics and More,117 Main St,East Greenville,PA,18041,USA,Northeast,(610) 489-7357,,,Open
Blackbird Comics,5615 Losee Rd #105,North Las Vegas,NV,89081,USA,West,(702) 399-2948,lvblackbirdcomics@gmail.com,theblackbirdroost.com,Open
Bobs Comic Castle,2150 W White River Blvd,Muncie,IN,47303,USA,Midwest,(765) 282-1563,,facebook.com/Bobs-Comic-Castle,Open
Bobs Comics,979 Gadsden Hwy,Birmingham,AL,35235,USA,Southeast,(205) 833-6914,,,Open
Books Comics and Things,2212 Maplecrest Rd,Fort Wayne,IN,46815,USA,Midwest,(260) 755-2425,bct@bctcomics.com,bctcomics.com,Open
Buy Me Toys & Comics,4615 Grape Road Suite C,Mishawaka,IN,46545,USA,Midwest,(574) 271-8697,info@buymetoys.com,buymetoys.com,Open
Capital City Comics,1910 Monroe St,Madison,WI,53711,USA,Midwest,(608) 251-8445,tba@capcitycmx.com,,Open
Capitol City Comic Shop,415 Coliseum Blvd,Montgomery,AL,36109,USA,Southeast,334-215-3335,robcomix@aol.com,instagram.com/capitol_city_comics,Open
Captains Comics Toys and Games,6551 S Main St,Ashtabula,OH,44004,USA,Midwest,440-661-0443,,captainscomics.com,Open
Chautauqua Comics,214 Fairmount Ave,Jamestown,NY,14701,USA,Northeast,716-664-2287,info@chautauquacomics.com,chautauquacomics.com,Open
Clairemont Comics,2215 Fairfax St,Eau Claire,WI,54701,USA,Midwest,715-831-2112,charsh@clairemontcomics.com,clairemontcomics.com,Open
Cleveland Comics,5120 Mayfield Road,Lyndhurst,OH,44124,USA,Midwest,440-442-1986,,cleveland-comics.com,Open
Clints Books Comics & Games,3941 Main St,Kansas City,MO,64111,USA,Midwest,816-561-2848,clintsbooks@gmail.com,clintscomics.net,Open
Close Encounters Comics,1861 Hooper Ave,Toms River,NJ,8753,USA,Northeast,732-503-4672,,,Open
Collectors Choice,54 Main Street,Brockport,NY,14420,USA,Northeast,585-637-8556,collectors_choice@hotmail.com,facebook.com/CollectorsChoiceBrockport,Open
Collectors Corner,7911 Harford Rd,Parkville,MD,21234,USA,Northeast,410-668-3353,collectorscornermd@comcast.net,collectorscornermd.com,Open
Collectors Den,4020 Rhea Rd Ste 4E,Wichita Falls,TX,76308,USA,Southwest,940-386-9404,collectorsdenz@yahoo.com,collectors-den.com,Open
Collectors Edge Comics North,7826 W Burleigh St,Milwaukee,WI,53222,USA,Midwest,414-445-5055,shop@CollectorsEdgeComics.com,collectorsedgecomics.com,Open
Collectors Ink,2593 CA-32,Chico,CA,95973,USA,West,530-345-0958,collectorsink@ymail.com,collectorsink.com,Open
Collectors Inn,3107 Delaware Avenue,Kenmore,NY,14217,USA,Northeast,716-873-8633,collectorsinn@gmail.com,collectorsinn.com,Open
Comic Book Hideout,215 W Commonwealth Ave,Fullerton,CA,92832,USA,West,657-217-0624,cbhideout@gmail.com,comicbookhideout.com,Open
Comic Book Palace,620 Primrose St #3,Haverhill,MA,1830,USA,Northeast,978-372-1477,cbpalace@aol.com,comicbookpalace.com,Open
Comic Books 101,101 N Franklin St,Titusville,PA,16354,USA,Northeast,814-657-6372,comics101@zoominternet.net,,Open
Comic Cards Etc,1063C San Pablo Ave,Pinole,CA,94564,USA,West,510-724-7587,sales@wizcatcol.com,comiccardsetc.com,Open
