name,address,city,state,zip_code,country,region,phone,email,website,status
HBS Comics and Collectibles,1411 Mark Allen Ln Ste F,Murfreesboro,TN,37129,USA,Southeast,(931) 842-5418,thehappybookstack@gmail.com,thehappybookstack.com,Open
HELA Comics,1041 S Olive St Suite 2,Los Angeles,CA,90015,USA,West,(213) 284-8390,info@helacomics.com,helacomics.com,Open
HEROES & HOBBIES Beavertron's Comic Con,4150 SW Cedar Hills Blvd,Beaverton,OR,97005,USA,West,(503) 626-1440,,,Open
Halleys Comics & Games,1144 Oliver St,North Tonawanda,NY,14120,USA,Northeast,(716) 695-6138,comicat@roadrunner.com,facebook.com/HalleysComicsAndGames,Open
Halo 13,201 E Magnolia Blvd,Burbank,CA,91502,USA,West,(818) 842-8726,customerservice@halo13anime.com,halo13anime.com,Open
Happy Day Comics,3537 Orchard Dr,Hammond,IN,46323,USA,Midwest,(219) 937-7410,happydaycomics@gmail.com,happydaycomics.com,Open
Hartford Comics & Hobbies,915 W Main St,Eldorado,OK,73537,USA,Southwest,(580) 471-0098,hartford.comics@gmail.com,instagram.com/hartford_comics,Open
Harvey Doss Comics and Collectibles,237 Southwest Blvd,Rohnert Park,CA,94928,USA,West,(707) 665-5538,harvdoss@gmail.com,stores.ebay.com/harvdoss7075836400,Open
Have Fun Collectibles,4811 N Brady St 1C,Davenport,IA,52806,USA,Midwest,(309) 762-2474,hfc.customer@yahoo.com,havefuncollectibles.com,Open
Haven Comics Etc.,1871 Slaughter Rd Suite F,Madison,AL,35758,USA,Southeast,(256) 430-0505,havencomicsetc@gmail.com,havencomics.com,Open
Haven's Toys & Collectibles,213 S Main St,Del Rio,TX,78840,USA,Southwest,(830) 719-5430,havenmancha@yahoo.com,comicstorelist.com/comic-store/havens-toys-collectibles-del-rio-tx,Open
Hello Comics,398 Hillsdale Dr,Charlottesville,VA,22901,USA,Southeast,(434) 974-7512,sayhello@hellocomics.net,hellocomics.net,Open
