name,address,city,state,zip_code,country,region,phone,email,website,status
A & J Comics Cards and Collectibles,411 S 3rd St,Union City,TN,38261,USA,Southeast,(731) 599-9939,,facebook.com/pages/category/Hobby-Store/A-J-Comics-Cards-and-Collectibles-100116845554760/,Open
SCG Hobby Altoona,3200 Pleasant Valley Blvd,Altoona,PA,16602,USA,Northeast,(814) 201-2845,altoona@scghobby.com,scghobby.com,Open
AVPopShop,44154 10th St W,Lancaster,CA,93534,USA,West,(661) 726-7266,Avpopshop@gmail.com,sites.google.com/view/avpopshop,Open
American Legends,1107 Central Park Ave,Scarsdale,NY,10583,USA,Northeast,(914) 725-2225,mark@amerlegends.com,amerlegends.com,Open
Atlanta Classic Comics,63 Ernest W Barrett Pkwy NW,Marietta,GA,30066,USA,Southeast,(770) 906-8846,atlantapickers@gmail.com,atlantaclassiccomics.com,Closed
Atomic Comics & Toys,4020 S Steele St #102,Tacoma,WA,98409,USA,West,(253) 472-1908,info@atomiccomicsonline.com,facebook.com/atomiccomics,Open
Atomic Comics Emporium II,467b Denbigh Blvd,Newport News,VA,23608,USA,Southeast,(757) 877-3756,atomicce@cox.net,atomiccomicsemporium.com,Open
Atomic Comics Emporium,50 W Mercury Blvd,Hampton,VA,23669,USA,Southeast,(757) 723-5003,atmcmx@yahoo.com,atomiccomicsemporium.com,Open
Atomic Empire,3400 Westgate Dr Ste 14B,Durham,NC,27707,USA,Southeast,(919) 490-7900,support@atomicempire.com,atomicempire.com,Open
Atomic Monkey Comics,11177 Katy Fwy Ste B,Houston,TX,77079,USA,Southwest,(281) 798-0777,,atomicmonkeycomics.com,Open
Atomic Planet Comics,8906 E 96th St,Fishers,IN,46037,USA,Midwest,(317) 588-9139,atomicplanetcomics@gmail.com,atomicplanet.net,Open
Awesome Comics,8420 Abrams Rd Ste 202,Dallas,TX,75243,USA,Southwest,(214) 341-7033,awesome_comics@yahoo.com,awesomecomicsonline.com,Open
B & D Comic Shop,2937 Brambleton Ave SW,Roanoke,VA,24015,USA,Southeast,(540) 342-6642,bdcomics1@verizon.net,banddcomics.com,Open
