name,address,city,state,zip_code,country,region,phone,email,website,status
B & D Comic Shop,2937 Brambleton Ave SW,Roanoke,VA,24015,USA,Southeast,(540) 342-6642,bdcomics@hotmail.com,banddcomics.com,Open
B & D Sport Cards and Comics,1326 Piney Forest Rd,Danville,VA,24540,USA,Southeast,(434) 836-9133,,https://www.facebook.com/p/BD-Comics-and-Collectibles-100091773005533/,Open
B & L Comics Cards & Nostalgia,5591 Ridge Rd,Cleveland,OH,44129,USA,Midwest,(440) 886-3077,,facebook.com/BLComics,Open
B & M Amusement,5036 Highway 58 Suite B,Chattanooga,TN,37416,USA,Southeast,(423) 490-1162,bandmorders@aol.com,bandmamusement.com,Open
B and J comics,346 Main St,Wilton,ME,4294,USA,Northeast,(207) 778-1569,info@bandjcomics.com,bandjcomics.com,Open
Big Belly Comic Cave,3814 Williamson Rd NW,Roanoke,VA,24012,USA,Southeast,(540) 595-9417,fatthorcomics@gmail.com,bigbellycomiccave.com,Open
Big J's Comics & Collectibles,3315 Johnston St,Lafayette,LA,70503,USA,Southeast,(337) 984-3405,jybbbyl@hotmail.com,https://www.facebook.com/p/Big-Js-Comics-100057415030618/,Unknown
Big Redhead Vintage Toys,5120 N Florida Ave Ste A,Tampa,FL,33603,USA,Southeast,(813) 232-2485,bigcoolredhead@yahoo.com,bigredheadcomics.com,Open
Bigfoot Comics,101 E B St,Belleville,IL,62220,USA,Midwest,(618) 406-4364,bigfootcomics101@gmail.com,bigfootcomics.org,Open
Billy Reagan Collectibles,,Franklinton,NC,27525,USA,Southeast,(919) 229-5440,billyreagancollectibles@gmail.com,billyreagancollectibles.com,Unknown
Bingo Used Books,3366 SE Powell Blvd,Portland,OR,97202,USA,West,(503) 231-4091,BingoUsedBooks@gmail.com,bingousedbooks.com,Open
Black Cat Books,2214 E Algonquin Rd,Algonquin,IL,60102,USA,Midwest,(847) 409-6295,,modernagereader.com,Open
