name,address,city,state,zip_code,country,region,phone,email,website,status
East Atlanta Comics,508 Flat Shoals Ave SE,Atlanta,GA,30316,USA,Southeast,(404) 963-2918,eastatlantacomics@gmail.com,eastatlantacomics.com,Open
Eastgate Comics Mini Mart,108 Interstate Dr,High Point,NC,27263,USA,Southeast,(336) 431-2030,eastgatecomicsminimart@gmail.com,eastgatecomics.com,Open
Eastgate Comics,609 McDonald Court Suite B,High Point,NC,27260,USA,Southeast,(336) 887-2455,eastgatecomics@gmail.com,eastgatecomics.com,Open
El Rey Comics,75 Bishop St,Portland,ME,4103,USA,Northeast,(207) 405-9831,adrian@elreycomics.com,elreycomics.com,Open
Empire Comics & Games,1636 Slate Run Rd,New Albany,IN,47150,USA,Midwest,(812) 948-9290,empirecomicsandgames@gmail.com,facebook.com/EmpireComics,Open
Empire Games,118 N McDuffie St,Anderson,SC,29621,USA,Southeast,(864) 328-9418,main@empire-games.com,empire-games.com,Open
Empire's Comics Vault,1120 Fulton Ave Suite K,Sacramento,CA,95825,USA,West,(916) 482-8779,empirescv@hotmail.com,empirescomics.com,Open
Encounter Comics & Games,811 Union Blvd,Allentown,PA,18109,USA,Northeast,(610) 774-9565,,facebook.com/encountercomics,Open
Epikos Comics and Games,5864 Brainerd Rd,Chattanooga,TN,37411,USA,Southeast,(423) 531-4184,info@epikosccg.com,epikosccg.com,Open
Escape Hatch Books,27 Main St,Jaffrey,NH,3452,USA,Northeast,(603) 532-7400,ehb@escapehatchbooks.com,facebook.com/EscapeHatchBooks,Open
Escape from LA Comics,252 S Main St,Pomona,CA,91723,USA,West,(626) 502-3185,info@escapefromlacomics.com,escapefromlacomics.com,Open
Everscape,104 E Fort St,Manchester,TN,37355,USA,Southeast,(931) 954-1520,explore@everscapeonline.com,everscapeonline.com,Open
Evil Empire Comics,201 Station Rd,Quakertown,PA,18951,USA,Northeast,(855) 936-3845,rey@evilempirecomics.com,evilempirecomics.com,Open
Evy's Treasures And Collectibles,1670 Acushnet Ave,New Bedford,MA,2746,USA,Northeast,(774) 400-3837,evystnc@gmail.com,https://www.facebook.com/p/Evys-Comics-and-Collectibles-100065374243370/,Open
,,,,,,,,,,
