name,address,city,state,zip_code,country,region,phone,email,website,status
Capital City Comics,2713 Industrial Drive Suite D,Jefferson City,MO,65101,USA,Midwest,(573) 302-1888,capitalcitycomicbooks@gmail.com,facebook.com/CapitalCityComicsJC,Open
Cards & Comics Connection,1717 N Frazier St Suite H,Conroe,TX,77301,USA,Southwest,(936) 756-4839,cardscomicsconnection@gmail.com,cardsandcomics.net,Open
Carolina Comics & More,4110 Dr Martin Luther King Jr Blvd,New Bern,NC,28562,USA,Southeast,(252) 633-3250,,https://www.facebook.com/p/Comic-Shop-in-New-Bern-100057368983743/,Open
Carolina Comics,305 SW C Ave,Lawton,OK,73501,USA,Southwest,(580) 353-5164,carolinacomics@sbcglobal.net,carolinacomics.net,Open
Castle Comics and Games,2133 S 4th St,Lafayette,IN,47905,USA,Midwest,(765) 474-1110,yourfriendsatcastlecomics@gmail.com,castlecomicscards.com,Open
Castle Comics,901 Gallia St,Portsmouth,OH,45662,USA,Midwest,(740) 353-4777,,https://www.facebook.com/CastleComicsPortsmouth/,Open
Cavalier Comics,109 Glade St SE Suite E,Wise,VA,24293,USA,Southeast,(276) 328-9312,cavaliercomics@verizon.net,cavaliercomics.com,Open
Centerpoint Toys & Games,4792 Navy Rd,Millington,TN,38053,USA,Southeast,(901) 601-2769,centerpointtoys@gmail.com,facebook.com/CenterpointToys,Open
Central City Comics,2600 Central Ave G,Charlotte,NC,28205,USA,Southeast,(803) 487-3671,centralcitycomicsnc@gmail.com,centralcitycomics.com,Open
Cerebral Vortex,1420 N Parham Rd Fl 2,Richmond,VA,23229,USA,Southeast,(804) 640-8130,,facebook.com/cerebralvortexrva,Open
Charlies Retro Reality,401 Diagonal St,Clarkston,WA,99403,USA,West,(509) 254-7696,CharliesRetroReality2021@outlook.com,charliesretroreality.com,Open
