name,address,city,state,zip_code,country,region,email,website,status
Brave New Worlds,55 N Second St,Philadelphia,PA,19106,USA,Northeast,rob@bravenewworldscomics.com,bravenewworldscomics.com,Open
Out of Time Comics,1410 Chestnut St. #4,Philadelphia,PA,19102,USA,Northeast,,,Unknown
Adventureland,2120 Voorhees Town Center,Voorhees,NJ,08043,USA,Northeast,,adventurelandstore.com,Open
Atomic City Comics,638 South St,Philadelphia,PA,19147,USA,Northeast,atomiccitycomics@aol.com,atomic-city-comics.b12sites.com,Open
The Marvelous,208 S. 40th St.,Philadelphia,PA,19104,USA,Northeast,,,Closed
Close Encounters Comics,1861 Hooper Ave,Toms River,NJ,08753,USA,Northeast,,,Open
Steve's Comic Relief,1231 Route 166 #7,Toms River,NJ,08753,USA,Northeast,,ebay.com/str/jerseysfinestcomics,Open
Uncanny!,500 W Germantown Pike Ste 2060,Plymouth Meeting,PA,19462,USA,Northeast,,uncannyonline.com,Open
Blue Line Collectibles,1728 W Ritner St,Philadelphia,PA,19145,USA,Northeast,bluelinecollectiblesphilly@gmail.com,,Open
Uncanny!,160 N Gulph Rd Ste 2361,King of Prussia,PA,19406,USA,Northeast,uncannykop@gmail.com,uncannyonline.com,Open
The Complete Strategist,580 Shoemaker Rd.,King of Prussia,PA,19406,USA,Northeast,,,Unknown
New Wave Comics,4020 Skippack Pike,Skippack,PA,19473,USA,Northeast,info@newwavecomics.net,newwavecomics.net,Open
Temdee Collectibles,5051 Route 42,Turnersville,NJ,08012,USA,Northeast,,temdee.com,Open
Cool Stuff/Effin Comics,417 Burmont Rd,Drexel Hill,PA,19026,USA,Southeast,,,Closed
All Things Fun,185 C Route 73 North,West Berlin,NJ,08091,USA,Northeast,,,Closed
Stormwatch Comics,449 Route 73 N,West Berlin,NJ,08091,USA,Northeast,,,Closed
Tales of Adventure,201 S 3rd St,Coopersburg,PA,18036,USA,Northeast,toacomics@gmail.com,toamagic.com,Open
Showcase Comics,874 W Lancaster Ave,Bryn Mawr,PA,19010,USA,Northeast,,showcasecomicsandgames.com,Open
Comic Universe,446 Macdade Blvd,Folsom,PA,19033,USA,Northeast,comicuniversellc@yahoo.com,comicuniversedelco.com,Open
JAF Comics,224 Nazareth Pike,Bethlehem,PA,18020,USA,Northeast,info@jafcomics.com,jafcomics.com,Open
The Portal Comics and Gaming,321 Woodlawn Ave,Bethlehem,PA,18018,USA,Northeast,thecrew@theportalcomicsandgaming.com,theportalcomicsandgaming.com,Moved
Dreamscape Comics,302 W. Broad St.,Bethlehem,PA,18018,USA,Northeast,,,Closed
Bittermann's Comics and More,117 Main St,East Greenville,PA,18041,USA,Northeast,,,Not Verified
Crossroad Comics,23 S Broadway,Pitman,NJ,08071,USA,Northeast,,,Not Verified
Cloud City Games,1438 Chestnut St,Emmaus,PA,18049,USA,Northeast,,,Not Verified
A+ Cards and Comics,520 Delsea Dr. North,Glassboro,NJ,08028,USA,Northeast,,,Not Verified
The Comic Book Store,30 N. Main St.,Glassboro,NJ,08028,USA,Northeast,,,Not Verified
Beachead Comics,1601 Chew St,Allentown,PA,18102,USA,Northeast,,,Not Verified
The Encounter,2106 Union Blvd.,Allentown,PA,18109,USA,Northeast,,,Not Verified
Comic Masters,1978 Whitehall Mall,Whitehall,PA,18052,USA,Northeast,,,Not Verified
