name,address,city,state,zip_code,country,region,email,website,status,phone
Comics & Cards Trading Post,7968 Vaughn Rd,Montgomery,AL,36116,USA,Southeast,,,,
Haven Comics  Etc.,1871-S Slaughter Rd.,Madison,AL,35758,USA,Southeast,,,,
THE COMIC SHOP,1815 6TH AVE SE,DECATUR,AL,35601,USA,Southeast,,,,
Mountain Top Comics,1683 S Jefferson Ave,Cookeville,TN,38501,USA,Southeast,,,,
Outer Limits Boro,Broad Street Centre  1244 NW Broad St,Murfreesboro,TN,37130,USA,Southeast,,,,
Timely Treasures Collectavles,810 Northwest Broad Street,Murfreesboro,TN,37130,USA,Southeast,,,,
Collector's Alley,1229 Hampshire Pike,Columbia,TN,38401,USA,Southeast,,,,
Rick's Comic City,2710 Old Lebanon Rd Suite 3,Nahsville,TN,37214,USA,Southeast,,,,
The Great Escape,5400 Charlotte Avenue,Nashville,TN,37209,USA,Southeast,,,,
Secret Headquarters,2418 N. Monroe St. Suite 210,Tallahassee,FL,32303,USA,Southeast,,,,
Fallot Comics,1482 Apalachee Parkway,Tallahassee,FL,32301,USA,Southeast,,,,
Little Monster Comics,4440 South HWY 27,Somerset,KY,42501,USA,Southeast,,,,
Lemonjuice McGee's Comic Cavalcade,450 S Hwy 27 Suite 5,Somerset,KY,42501,USA,Southeast,,lemonjuicecomics.com,Open,(606) 425-4845
Mad Ox Games & Comics,205 N Hill St,London,KY,40741,USA,Southeast,,,Closed,
The Great Escape,2945 Scottsville Rd SteB17&B18,Bowling Green,KY,42104,USA,Southeast,,,,
Hoyt's Cosmos of Comics,501 NW 23rd Avenue Suite C,Gainesville,FL,32609,USA,Southeast,,,Closed,(352) 378-0182
Universe of Super Heros,2724 Park Street,Jacksonville,FL,32205,USA,Southeast,,,,
7th Inning Stretch Sports Cards & Comics,11941 Bostick St Suite D,Dunnellon,FL,34432,USA,Southeast,,nationalsportsmemorabilia.com,Closed,(352) 489-7555
Vibranium Comics and Gaming,2801 SW 20th St Unit 201,Ocala,FL,34474,USA,Southeast,,vibraniumcomics.com,Open,(352) 237-9049
Gotham City Limit,4195 Southside Blvd Suite 104,Jacksonville,FL,32216,USA,Southeast,,gothamcitylimit.com,Open,(904) 641-3335
Borderlands Comics and Games,10230-11 Atlantic Blvd,Jacksonville,FL,32225,USA,Southeast,,,Closed,(904) 720-0774
The Loot Castle,5764 Stewart St,Milton,FL,32570,USA,Southeast,,,Open,(850) 623-9443
Jonee Zees Treasures,2632 US-19,Holiday,FL,34691,USA,Southeast,,,Open,(727) 935-5249
Emerald City Comics,4902 113th Ave N,Clearwater,FL,33760,USA,Southeast,email@emeraldcitycomics.com,emeraldcitycomics.com,Open,(727) 398-2665
Heroes Haven Comics,4339 Gunn Hwy,Tampa,FL,33618,USA,Southeast,,,Closed,
Demolition Comics IV,1404 Seminole Blvd,Largo,FL,33770,USA,Southeast,,,Closed,
Action Games & Comics,782 West Montrose St,Clermont,FL,34711,USA,Southeast,,,Unknown,(352) 242-9755
Demolition Comics II,4149 W Waters Ave,Tampa,FL,33634,USA,Southeast,,,Closed,(813) 885-5171
Demolition Comics,2564 E Fowler Ave,Tampa,FL,33612,USA,Southeast,,demolitioncomics.com,Closed,(813) 866-1780
Cloak & Dagger Comics,729 S Nova Rd,Ormond Beach,FL,32174,USA,Southeast,,cloakanddaggercomicsonline.crystalcommerce.com,Open,(386) 672-4980
