name,address,city,state,zip_code,country,region,phone,email,website,status,notes
Cloak & Dagger,729 S Nova Rd,Ormond Beach,FL,32174,USA,Southeast,(386) 672-4980,jake@cloakanddaggercomics.com,cloakanddaggercomics.com,Open,MOVED from 138 W Granada Blvd
Emerald City Comics,4902 113th Ave N,Clearwater,FL,33760,USA,Southeast,(727) 398-2665,email@emeraldcitycomics.com,emeraldcitycomics.com,Open,MOVED from 9249 Seminole Blvd Seminole - merged locations October 2013
Anime House,1757 North Nova Road #101,Holly Hill,FL,32117,USA,Southeast,,,,Unknown/Likely Closed,No current business info found - building exists as retail space
Green Shift Comics,5713 N Nebraska Ave,Tampa,FL,33604,USA,Southeast,(813) 238-4177,greenshifttampa@gmail.com,greenshiftcomics.com,Open,MOVED from 5226 N Nebraska Ave
Demolition Comics,4049 S Dale Mabry,Tampa,FL,33611,USA,Southeast,(813) 832-2692,orders@demolitioncomics.com,demolitioncomics.com,Open,Chain with multiple Tampa locations
CLARKS COMICS & MORE,11909 E MLK Jr Blvd,Seffner,FL,33584,USA,Southeast,,,,Closed,Yelp shows permanently closed
Coliseum of Comics Lakeland,1517 Bartow Rd,Lakeland,FL,33801,USA,Southeast,(863) 686-1350,lakeland@coliseumofcomics.com,coliseumofcomics.com,Open,MOVED from 3139 Galloway Road
Coliseum of Comics,177 Towne Center Circle,Sanford,FL,32771,USA,Southeast,,,,Closed,Seminole Towne Center location closed/relocated
Comic Central,1425 WP Ball Blvd,Sanford,FL,32771,USA,Southeast,(407) 321-5111,info@comic-central.com,comic-central.com,Open,Instagram @comiccentralfl - Facebook active
Read More Comics,115 E Brandon Blvd Ste A,Brandon,FL,33511,USA,Southeast,(813) 655-7838,readmorecomics@gmail.com,readmorecomics.com,Open,Fixed encoding issue in name - added suite
The Comics Club Inc,714 West Lumsden Road,Brandon,FL,33511,USA,Southeast,(813) 653-4111,mail@comicsclub.com,comicsclub.com,Open,
Acme Superstore,905 E State Road 434,Longwood,FL,32750,USA,Southeast,(407) 331-0433,info@acme-superstore.com,acme-superstore.com,Open,Established 1980
The Collective,520 W SR-436 Suite 1172,Altamonte Springs,FL,32714,USA,Southeast,(321) 295-7091,thecollective@thecollectivecomics.com,thecollectivecomics.com,Open,MOVED from 515 E Altamonte Drive #1023
World of Comics,2133 South Ridgewood Avenue,South Daytona,FL,32119,USA,Southeast,(386) 760-0555,,worldofcomics.com,Open,Established 2003 - no email found
