name,address,city,state,zip_code,country,region,email,website,phone,status
A A Paper Collectibles,1450 Frontage Rd,O Fallon,IL,62269,USA,Midwest,,,618-632-8771,Open
Twilight Comics,208 Frank Scott Pkwy E Ste 6,Swansea,IL,62226,USA,Midwest,info@twilightcomics.com,twilightcomics.com,618-416-2797,Moved
All American Collectibles,6933 Hampton Ave,Saint Louis,MO,63109,USA,Midwest,,allamericanstl.com,314-352-7700,Moved
Legends Comics & Sports Cards,5850 Hampton Avenue,Saint Louis,MO,63109,USA,Midwest,,,314-352-8773,Closed
Mo's Comics & Stories Shop,6933 Hampton Ave,Saint Louis,MO,63109,USA,Midwest,,allamericanstl.com,314-352-7700,Moved
Altered State Comics,671 Big Bend Rd,Manchester,MO,63021,USA,Midwest,,alteredstatecomics.com,636-220-4785,Open
Fantasy Books & Games,1977 W US Hwy 50,Fairview Heights,IL,62208,USA,Midwest,,fantasybooksinc.com,618-624-0920,Open
GEEK Out Inc,2 E 5th Street,Washington,MO,63090,USA,Midwest,,,636-432-1161,Open
The Book Broker,2717 Covert Ave,Evansville,IN,47714,USA,Midwest,,bookbrokercollectibles.com,812-479-5647,Open
Fantasy Shop Maplewood,7329 Manchester Rd,Saint Louis,MO,63143,USA,Midwest,fantasyshopinc@gmail.com,fantasyshoponline.com,314-644-3070,Open
Comic Relief Again,15425 Manchester #8,Ballwin,MO,63011,USA,Midwest,,,,Closed
Fantasy Shop Comics & Games,8232 N Lindbergh Blvd,Florissant,MO,63032,USA,Midwest,fantasyshopflo@gmail.com,fantasyshoponline.com,314-831-5211,Closed
Hawghead Comics,1600 S Greenwood Ave,Fort Smith,AR,72901,USA,Southeast,,hawgheadcomics.com,479-783-6008,Open
Star Clipper,6392 Delmar Blvd,Saint Louis,MO,63130,USA,Midwest,,,314-725-9110,Closed
Comic Quest,8401 N Kentucky Ave Ste C,Evansville,IN,47725,USA,Midwest,sales@comicquest.com,comicquest.com,812-474-1133,Moved
Comics Unlimited,654 E Diamond Ave Ste B,Evansville,IN,47711,USA,Midwest,,matthawes.wixsite.com/comicsunlimitedshop,812-423-6952,Closed
Vintage Stock,4505 W Walnut St,Rogers,AR,72756,USA,Southeast,chris.plake@vintagestock.com,vintagestock.com,479-936-5881,Open
Fantasy Limited,507 E 18th Street,Owensboro,KY,42303,USA,Southeast,,,270-926-2314,Closed
Dizzy Dugout Cards & Comics,121 E Main Street,Collinsville,IL,62234,USA,Midwest,,dizzydugout.com,618-345-6453,Open
Newcastle Comics & Games,2294 McKelvey Road,Maryland Heights,MO,63043,USA,Midwest,newcastle.comics@yahoo.com,newcastlecomics.com,314-392-9322,Open
Magic Comics & Hobbies,727 Robert Blvd,Slidell,LA,70458,USA,Southeast,postmaster@magiccomicsandhobbies.com,magiccomics-hobbies.com,985-649-4171,Open
Axtion Comics Cards Games,2200 N Highway 190,Covington,LA,70433,USA,Southeast,,,985-809-2939,Open
School of Comics,2981 B Highway 190,Mandeville,LA,70471,USA,Southeast,,schoolofcomics.com,985-951-8505,Not Verified
Baker Comics,9930 Florida Blvd,Baton Rouge,LA,70815,USA,Southeast,,,,Closed
Louisiana Double Play,2834 S Sherwood Forest Blvd Ste C5,Baton Rouge,LA,70816,USA,Southeast,info@ladoubleplay.com,ladoubleplay.com,225-296-5812,Open
School of Comics,660 Jefferson Highway,Baton Rouge,LA,70806,USA,Southeast,,schoolofcomics.com,225-922-9080,Closed
Walleys Pop Comics,711 Jefferson Highway Suite 7,Baton Rouge,LA,70806,USA,Southeast,,,225-927-1530,Not Verified
Galactic Goods Cards & Comics,343 West Esplanade Avenue,Kenner,LA,70065,USA,Southeast,,,504-466-8470,Closed
Media Underground Comics,4953 W Napoleon Ave,Metairie,LA,70001,USA,Southeast,,mediaundergroundcomics.com,504-301-2435,Closed
BSI Comics,3030 Severn Ave Ste 7,Metairie,LA,70002,USA,Southeast,bsi@bsicomics.com,bsicomics.com,504-885-5250,Open
