name,address,city,state,zip_code,country,region,phone,email,website,status
More Fun Comics,8200 Oak Street,New Orleans,LA,70118,USA,Southeast,5048651800,,more-fun-comics.business.site,Open
Terrytown Cards & Comics,506 Terry Pkwy Ste B1,Terrytown,LA,70056,USA,Southeast,5043685745,,,Unknown
and Books Too,3315 Johnston St,Lafayette,LA,70503,USA,Southeast,3379843405,,facebook.com/pages/and-books-too/279085021258,Closed
2nd and Charles,2001 Airline Drive,Bossier City,LA,71111,USA,Southeast,3187464876,support@2ndandcharles.com,2ndandcharles.com,Closed
Excalibur Comics Cards & Games,937 E 70th St,Shreveport,LA,71106,USA,Southeast,3188684389,excaliburccg@gmail.com,excaliburcomicscardsandgames.com,Open
Pet Shop Comics & Collectibles,1191 Hillview Blvd Suites 4 & 5,Louisville,KY,40229,USA,Southeast,5029573188,info@petshopcomics.com,petshopcomics.com,Open
Zone Comic Shop,291 N Hubbards Lane Suite 125,Louisville,KY,40207,USA,Southeast,5028938654,,zonecomicshop.com,Open
Comic Book World,6905 Shepherdsville Road,Louisville,KY,40219,USA,Southeast,5029645500,louisville@comicbookworld.com,comicbookworld.com,Open
Comic Vault,450 N Dixie Blvd,Radcliff,KY,40160,USA,Southeast,2703521144,,,Closed
Comic Carnival,7311 US 31 South,Indianapolis,IN,46227,USA,Midwest,3178898899,,,Closed
Downtown Comics,8925 S Meridian St,Indianapolis,IN,46217,USA,Midwest,3178856395,,downtowncomics.com,Open
Comic Carnival,9729 E Washington St,Indianapolis,IN,46229,USA,Midwest,3178985010,,comiccarnival.com,Closed
Downtown Comics,11 E Market St,Indianapolis,IN,46204,USA,Midwest,3172370397,circle@downtowncomics.com,downtowncomics.com,Open
Dee Puppy Comics,4435 N Franklin Rd,Indianapolis,IN,46226,USA,Midwest,3175439332,,,Closed
Comic Carnival,3837 N High School Rd,Indianapolis,IN,46254,USA,Midwest,3172934386,,comiccarnival.com,Closed
Downtown Comics,5767 E 86th St,Indianapolis,IN,46250,USA,Midwest,,north@downtowncomics.com,downtowncomics.com,Open
Downtown Comics,8336 W 10th St,Indianapolis,IN,46234,USA,Midwest,3172717610,,downtowncomics.com,Open
Circle City Comics & Games,3454 West 86th Street,Indianapolis,IN,46268,USA,Midwest,3172807530,,circlecitycomics.com,Closed
Comic Carnival,7235 N Keystone Ave Ste E,Indianapolis,IN,46240,USA,Midwest,3172538882,ComicCarnival@yahoo.com,comiccarnival.com,Open
Danger Room Games & Comics,833 E 53rd St,Anderson,IN,46013,USA,Midwest,7656466341,,danger-room.com,Open
Reader Copies,1610 S Scatterfield Road,Anderson,IN,46016,USA,Midwest,7656495767,,readercopies.com,Open
Atomic Comics Games & Music,120 N Mulberry St,Muncie,IN,47305,USA,Midwest,7652881500,,atomicgamesindiana.com,Open
Aw Yeah Comics,119 E Charles St,Muncie,IN,47305,USA,Midwest,7652825297,christina@awyeahcomicsmuncie.com,awyeahcomicsmuncie.com,Open
Alter Ego Comics,442 E McGalliard,Muncie,IN,47303,USA,Midwest,,,,Closed
Bob's Comic Castle,2150 W White River Blvd,Muncie,IN,47303,USA,Midwest,7652821563,,,Open
Temporal Comics and Sci-Fi,2225 Westwood Sq,Marion,IN,46952,USA,Midwest,,,,Not a retail shop - publisher only
BlueMoon Comics Strikes Back,2405 S Earl Ave,Lafayette,IN,47905,USA,Midwest,7657428787,geoff@bluemooncomics.net,bluemooncomics.net,Open
Von's Comics,317 W State St,West Lafayette,IN,47906,USA,Midwest,7657431991,,vonscomics.wordpress.com,Open
Books Comics and Things,5936 West Jefferson Blvd,Fort Wayne,IN,46804,USA,Midwest,2607552425,,bctcomics.com,Open
Summit Sports Comics & Games,4240 W Jefferson Blvd Ste M-8,Fort Wayne,IN,46804,USA,Midwest,2604362719,,summitfortwayne.com,Open
