name,address,city,state,zip_code,country,region,phone,email,website,status
Floating World Comics,1223 Lloyd Ctr,Portland,OR,97232,USA,West,(503) 241-0227,jason@floatingworldcomics.com,floatingworldcomics.com,Open
Force 1 Studios,326 Chester Pike Box 266,Norwood,PA,19074,USA,Northeast,(302) 312-1614,contacts@force1studios.com,force1studios.com,Unknown
Four Color Fantasies,80 Weems Ln,Winchester,VA,22601,USA,Southeast,(540) 662-7377,fourcolorfantasies@gmail.com,facebook.com/fourcolorfantasies,Open
Four Corners Comics & Games,34 Frederick Street,Hanover,PA,17331,USA,Northeast,(717) 334-2336,four.corners.comics@gmail.com,fourcornerscomics.com,Open
Four Horseman Comics,811 W High St,Piqua,OH,45356,USA,Midwest,(937) 897-7036,info@fourhorsemencomics.com,fourhorsemancomics.com,Open
Four Horsemen Comics and Gaming,9201 Mall Rd,Morgantown,WV,26501,USA,Southeast,(304) 581-4461,,fourhorsemencomics.com,Open
Four Horsemen Comics and Gaming,100 Robinson Centre Dr,Pittsburgh,PA,15205,USA,Northeast,(724) 833-4507,,4horsemencomics.com,Open
Fourcorners Comics & Games,42 Baltimore St,Gettysburg,PA,17325,USA,Northeast,(717) 334-2336,four.corners.comics@gmail.com,fourcornerscomics.com,Open
Foxhole Comics and Games,411 Main St,Columbus,MS,39701,USA,Southeast,(662) 729-4311,,facebook.com/danscomics,Open
Frank's Cool Stuff,213 W 4th St,Salem,VA,24153,USA,Southeast,(540) 404-3589,,frankscoolstuff.net,Open
Freedom Comics,2223 W Laskey Rd,Toledo,OH,43613,USA,Midwest,(419) 266-8404,freedomcomics@hotmail.com,freedomcomics.com,Open
Funky Town Collectibles,2394 Middle Country Rd,Centereach,NY,11720,USA,Northeast,(631) 615-1817,info@funkytownli.com,funkytownli.com,Open
