name,address,city,state,zip_code,country,region,phone,email,website,status
Kruger Comics,1210 Phoenix St Unit 6,South Haven,MI,49090,USA,Midwest,(269) 906-3037,Staff@krugercomics.com,krugercomics.com,Open
Krum's World,13750 W Colonial Dr Ste 290,Winter Garden,FL,34787,USA,Southeast,(407) 614-1881,KrumsWorld@gmail.com,krumscomics.com,Open
Krypton Comics,2819 S 125th Ave Ste 261,Omaha,NE,68144,USA,Midwest,(402) 391-4131,dean@kryptoncomicsomaha.com,kryptoncomicsomaha.com,Open
Kryptonite Kollectibles,1441 Plainfield Ave,Janesville,WI,53545,USA,Midwest,(608) 758-2100,krypto.jp@gmail.com,kryptonitekollectibles.com,Moved
Kryptos Comix,311 2nd St,Aurora,IN,47001,USA,Midwest,(513) 479-1820,jt@kryptoscomix.com,kryptoscomix.com,Open
Kyle's Comics,1029 W Jericho Tpke,Smithtown,NY,11787,USA,Northeast,(917) 681-0336,kylescomics01@aol.com,kylescomicsny.com,Open
Kyles Baseball Cards & Comics,3801 Nameoki Rd Ste 16,Granite City,IL,62040,USA,Midwest,(618) 876-0221,kylebbcard@yahoo.com,facebook.com/kyles-baseball-cards-comics,Open
L+L Collectibles,5001 Comly St,Philadelphia,PA,19135,USA,Northeast,(267) 258-2282,spideysensecomics@yahoo.com,https://www.facebook.com/spideysensecomics/,Open
LEGACY COMICS AND COLLECTIBLES,1007 N Roan St,Johnson City,TN,37604,USA,Southeast,(423) 737-1689,rcriddle@chartertn.net,https://www.facebook.com/profile.php?id=100076333080328,Open
LI Comic Shop,1 Stauderman Ave,Lynbrook,NY,11563,USA,Northeast,(516) 619-0022,webuy@licomicshop.com,licomicshop.com,Open
LOC Collectibles,2225B College St,Cedar Falls,IA,50613,USA,Midwest,(573) 275-4276,sales@loccollect.com,loccollectibles.com,Open
