name,address,city,state,zip_code,country,region,phone,email,website,status
Jovanis collectibles,2085 Logan Ave Unit C,San Diego,CA,92113,USA,West,(619) 665-5419,,,Open
Juniors Comic & Cards,2110 W Slaughter Ln #147,Austin,TX,78748,USA,Southwest,(512) 282-1302,juniorscomics@gmail.com,facebook.com/pages/juniors-comics/221503914543360,Open
Junk Punk Global,74 W Main St,Waynesboro,PA,17268,USA,Northeast,(717) 420-6603,junkpunkglobal@gmail.com,facebook.com/junkpunkglobal,Open
Jupiter Comics and Collectibles,10133 Hwy 57,Moscow,TN,38057,USA,Southeast,(901) 209-3121,jupiter-comics@gmail.com,jupiter-entertainment.com,Open
Just Heroes! Comics and Collectibles,733 Rue St Francois,Florissant,MO,63031,USA,Midwest,(314) 528-8362,forthekidnu@gmail.com,justheroescc.com,Open
K & J Comics and Games,1017 W View Park Dr,West View,PA,15229,USA,Northeast,(412) 635-0886,info@kjcomics.com,stores.comichub.com/kjcomics,Open
K&B Toys and Collectibles,1214 Broadway St N,Menomonie,WI,54751,USA,Midwest,(715) 309-6018,,kandbtoysandcollectibles.com,Open
KCs Comics,2807 Bel Air Rd,Fallston,MD,21047,USA,Northeast,(410) 877-3152,kcscomicshop@gmail.com,facebook.com/KCsComics,Open
Kaboom Comics & Collectibles #2,525 S Texas Blvd,Weslaco,TX,78596,USA,Southwest,(956) 630-2666,kaboomcomicstx2@gmail.com,kaboomcomics.net,Open
Kaboom Comics & Collectibles,3525 N 10th St,McAllen,TX,78501,USA,Southwest,(956) 630-2666,,kaboomcomics.net,Open
Kanesville Kollectibles,530 S 4th St,Council Bluffs,IA,51503,USA,Midwest,(712) 328-8731,kanesville@cox.net,kanesvillekollectibles.com,Open
Karran Toys & Comics,2164 Mariner Blvd,Spring Hill,FL,34609,USA,Southeast,(352) 600-8507,karrantoysandcomics@yahoo.com,ebay.com/str/karrantoyznthingz,Open
Keep it Strange,9133 Manassas Dr,Manassas Park,VA,20111,USA,Southeast,(240) 421-9177,,keepitstrangecollectibles.com,Open
