name,address,city,state,zip_code,country,region,phone,email,website,status
Pastime Comics,6120 Watauga Rd Ste B,Watauga,TX,76148,USA,Southwest,(817) 849-2295,pastimecc@gmail.com,pastimecc.com,Open
Pastimes,175 Weaverville Rd Ste Y,Asheville,NC,28804,USA,Southeast,(828) 658-0588,pastimes.comics.games@gmail.com,comicshopasheville.com,Open
Patel Bros Collectibles,2735 US-22,Union,NJ,7083,USA,Northeast,(917) 810-0176,,patelbroscollectibles.com,Open
Pauper's Books & More,11731 US 70 Bus Hwy W,Clayton,NC,27520,USA,Southeast,(919) 550-2777,,paupersbooks.com,Open
Peak Collectibles,414 W Tehachapi Blvd Unit C,Tehachapi,CA,93561,USA,West,(661) 771-7402,jesse@peakcollectible.com,peakcollectible.com,Open
Perfect Storm West,202 E Michigan Ave Ste A,Paw Paw,MI,49079,USA,Midwest,(269) 913-4189,carter@perfectstormmtg.net,perfectstormmtg.net,Open
Phat Collectibles,301 E Imperial Hwy,La Habra,CA,90631,USA,West,(714) 680-3760,phateventsoc@gmail.com,phatcollectibles.com,Open
Phat Daddy's Comics,46388 Telegraph Rd,Amherst,OH,44001,USA,Midwest,(419) 706-6059,pastorstew@yahoo.com,facebook.com/615560021813654,Open
Pinocchio Collectibles,1814 McDonald Ave # A,Brooklyn,NY,11223,USA,Northeast,(718) 645-2573,,,Open
Planet Symbiote Comics & Collectibles,9333 SW Loop 410,San Antonio,TX,78242,USA,Southwest,(210) 955-4929,,instagram.com/planetsymbiotecomics,Open
Play N Trade,208 S 10th St,Brainerd,MN,56401,USA,Midwest,(218) 454-7529,playntrademn@gmail.com,facebook.com/Play-N-Trade-Baxter-206534179388551,Open
Players Comics & Cards,12981 Perris Blvd Ste 109A,Moreno Valley,CA,92553,USA,West,(951) 242-4167,,,Open
