name,address,city,state,zip_code,country,region,phone,email,website,status
Pluzza,110 Garner Rd Ste 4,Spartanburg,SC,29303,USA,Southeast,(978) 944-7233,pluzzashop@gmail.com,pluzza.com,Open
Pop Culture Cards Comics and Games,66 NH-27 Unit 2,Raymond,NH,3077,USA,Northeast,(603) 244-1850,spideeeeey@yahoo.com,popculturenh.com,Open
Pop Culture Comics & Toys,1105 Mt Royal Blvd,Pittsburgh,PA,15223,USA,Northeast,(412) 486-7200,team@buypopculture.com,buypopculture.com,Open
Pop! Culture Connection,105 E Pittsburgh St,Greensburg,PA,15601,USA,Northeast,(724) 493-5716,popcultureconnection@gmail.com,popcultureconnectionllc.com,Open
Pop' N Comics and collectibles,41804 Hayes Rd,Clinton Township,MI,48038,USA,Midwest,(586) 222-9942,,https://www.facebook.com/pop.n.comics/,Open
Pops Comics & Collectibles,903 Hess Ln,Louisville,KY,40217,USA,South,(502) 409-6921,popscomics502@yahoo.com,popscomics502.com,Open
Power Comics,328 Main St,Conway,SC,29526,USA,Southeast,(843) 347-3477,subscribe@powercomicshop.com,powercomicon.com/power-comics,Open
Power Up Shop Comics and Collectibles,6 W Wilson St Booth #787,Batavia,IL,60510,USA,Midwest,(630) 482-2882,,instagram.com/powerupshop_batavia,Open
Powers Comics & Collectibles,2180 S Ridge Rd,Green Bay,WI,54304,USA,Midwest,(920) 884-8483,powerscomics@yahoo.com,facebook.com/PowersComics,Open
Prestige Worldwide Comics & Collectibles,928 Broadwater Ave Unit 105,Billings,MT,59101,USA,West,(406) 384-3552,prestigeworldwidecomics@gmail.com,facebook.com/prestigeworldwidecomics,Open
Prideland Comics & Collectibles,5668 Crawfordsville Rd Suite D,Speedway,IN,46224,USA,Midwest,(317) 377-4977,ramone_prideland@yahoo.com,pridelandcomics.com,Open
Primary Collectibles,511 Woodlawn Rd,Lincoln,IL,62656,USA,Midwest,(217) 622-5448,primarycolours2015@gmail.com,https://www.facebook.com/PrimaryColoursVGResale?mibextid=ZbWKwL,Open
