name,address,city,state,zip_code,country,region,phone,email,website,status
Mr. Comics Comic Book Shop,3180 Gulf Breeze Pkwy,Gulf Breeze,FL,32563,USA,Southeast,(850) 565-4030,mrcomics@yahoo.com,facebook.com/mr.comicscomicbookshop,Open
MultiVerse Comics,4531 Gulf Breeze Pkwy,Gulf Breeze,FL,32563,USA,Southeast,(850) 384-1366,MultiVersecomicsfl@gmail.com,multiverse-comic-store.com,Open
Multiverse,8026 Germantown Ave,Philadelphia,PA,19118,USA,Northeast,(215) 896-1073,hello@multiversephilly.com,multiversephilly.com,Open
Mushyhead Comics,117 W Foster Ave,Pampa,TX,79065,USA,Southwest,(806) 370-5858,social@mushyhead.com,mushyhead.com,Open
My-D Pins & Collectibles,1648 W Katella Ave Ste B,Anaheim,CA,92802,USA,West,(657) 233-5799,,mydpins.com,Open
Mythic Emporium,1125 N Broadway Suite A,Minot,ND,58703,USA,Midwest,(701) 203-1099,mythicemporiumnd@gmail.com,mythicemporiumnd.com,Open
Mythical Mountain Comics and Toys,11111 San Jose Blvd Ste 37,Jacksonville,FL,32223,USA,Southeast,(904) 680-1308,customercare@mythicalmountain.com,mythicalmountain.com,Open
NJ Comic Stop,1308 N Delaware St,Paulsboro,NJ,8066,USA,Northeast,(856) 301-1354,njcomicstop@gmail.com,njcomicstop.com,Open
NUKE 'EM COMICS & COLLECTIBLES,54 Mt Airy Village Rd,Lambertville,NJ,8530,USA,Northeast,(215) 693-1822,,nukemcomics.com,Open
Nan's Games & Comics Toys,2011 Southwest Fwy,Houston,TX,77098,USA,Southwest,(713) 520-8700,nansgames@yahoo.com,nansgames.com,Open
