name,address,city,state,zip_code,country,region,phone,email,website,status
Sir Lonebuck's House of Comics & Geekery,14132 NE Woodinville Duvall Rd,Woodinville,WA,98072,USA,West,(425) 949-7153,contact@sirlonebuckscomics.com,sirlonebuckscomics.com,Open
Sleeping Giant Collectibles,80 Clinton Street Suite 208,Tonawanda,NY,14150,USA,Northeast,(716) 434-9999,info@sleepinggiantventures.com,sleepinggiantcollectibles.com,Open
Slope Comic & Collectibles,151 7th Ave,Brooklyn,NY,11215,USA,Northeast,(646) 383-0043,slopecomics@gmail.com,slopecomics.com,Open
Something Old Something Nouveau,1117 Main St,Fortuna,CA,95540,USA,West,(707) 617-2600,,https://www.facebook.com/SomethingOldSomethingNouveau/,Open
Soundwave Comics,1448 Boone Hill Rd,Summerville,SC,29483,USA,Southeast,(843) 821-8810,soundwaverecords@aol.com,soundwavecomics.com,Open
Space Cadets Collection Collection,17947 I-45 South #228,Shenandoah,TX,77385,USA,Southwest,(281) 298-1111,ming4king@yahoo.com,spacecadetscollection.com,Open
Space City Comics,5310 E Sam Houston Pkwy N Ste G,Houston,TX,77015,USA,Southwest,(281) 864-7821,rrcomics2@gmail.com,facebook.com/randrcomics,Open
SpaceCity Collectible Capsule,10910 Katy Fwy Suite #187,Houston,TX,77043,USA,Southwest,(832) 726-2927,raz_4cyte@yahoo.com,https://www.facebook.com/p/Space-City-Collectible-Capsule-100093135589904/,Open
Sparky's Comic Shop,2400 N Highway 66 Suite J,Catoosa,OK,74015,USA,Southwest,(918) 739-3607,sparkyscomicshop@gmail.com,sparkyscomicshop.com,Open
Rainbow Comics,6744 Market St,Boardman,OH,44512,USA,Midwest,(330) 953-0960,rainbowcomics@aol.com,comic-spectrum.edan.io,Open
Spelbok Games & Comics,106 S Main St,Lindsborg,KS,67456,USA,Midwest,(620) 504-4719,store@spelbok.com,spelbok.com,Open
Speros Heroes Comic Book Store,21037 Devonshire St,Chatsworth,CA,91311,USA,West,(818) 709-9019,,ebay.com/str/sperosheroes,Open
Spindown Gaming,426 Main Street,Laceyville,PA,18623,USA,Northeast,(570) 504-7474,shotwellspindowngaming@gmail.com,spindowngaming.com,Open
Spooky Lake Comics,18200 FM306 #120,Canyon Lake,TX,78133,USA,Southwest,,spookylakecomics@gmail.com,spookylakecomics.com,Open
