name,address,city,state,zip_code,country,region,phone,email,website,status
Comic Spectrum,6744 Market St,Youngstown,OH,44512,USA,Midwest,(330) 953-0960,feedback@comicspectrum.com,comic-spectrum.edan.io,Open
Comic Spot,10453 Gibsonton Dr,Riverview,FL,33578,USA,Southeast,(813) 512-6134,info@comicspotfl.com,acomicspot.com,Open
Comic Stop,134A Main St,Watertown,MA,2472,USA,Northeast,(617) 926-3430,david@thecomicstop.com,thecomicstop.com,Open
Comic Cove,528 Westerly Pkwy,State College,PA,16801,USA,Northeast,(814) 780-8114,info@comicove.com,comicove.com,Open
ComicMasters,1978 Whitehall Mall,Whitehall,PA,18052,USA,Northeast,(610) 266-7670,comicmasters@msn.com,comicmastersonline.com,Open
Comics & Paperbacks Plus,201 E Main St,Palmyra,PA,17078,USA,Northeast,(717) 838-4854,ralph@comicsandpaperbacksplus.com,comicsandpaperbacksplus.com,Open
Comics Adventure,15705 SE McLoughlin Blvd Suite A,Milwaukie,OR,97267,USA,West,(503) 305-7946,info@comicsadventure.com,comicsadventure.com,Open
Comics Arcade,11 S Main St,Kalispell,MT,59901,USA,West,(406) 253-2862,Randyscomics@yahoo.com,facebook.com/ComicsArcade,Open
Comics Cubed,121 E Sycamore St,Kokomo,IN,46901,USA,Midwest,(765) 450-4126,trent.reeder@netdepot.com,comicscubed.com,Open
Comics Exchange,3711 Chapman Hwy,Knoxville,TN,37920,USA,Southeast,(865) 573-2280,comicexchangetn@gmail.com,comicexchange.com,Open
Comics Games & Stuff,103 W Butler St,Bryan,OH,43506,USA,Midwest,(419) 633-3633,mattcgscomics@gmail.com,comics-games-stuff.business.site,Open
Comics Kingdom,8095 Phelan Blvd Suite A,Beaumont,TX,77706,USA,Southwest,(409) 860-4848,,thecomicskingdom.com,Open
Comics Metropolis,26 S 3rd St,Lewisburg,PA,17837,USA,Northeast,(570) 415-2178,,facebook.com/ComicsMetropolisLLC,Open
